Tier,Genre,Ethnicity,Client_Tag,Creator_Name,TikTok_URL,HitVideos_URL,Hit_Keywords,Followers,Hit_Videos,Median_Views,Engagement_Rate,Vibe_Cluster_Hint,Region_Type
B,EXPERIENCE,AMERICA,creha,mariseki,https://www.tiktok.com/@mariseki,https://www.tiktok.com/@mariseki/video/7551042840848043272,"Tokyo Drift Real Life, Tokyo Car Meet, JDM Tokyo",352500,1,647300,2.53,General,Global
B,FOOD,ASIA,zstea,halal_ramen_shinjukutei,https://www.tiktok.com/@halal_ramen_shinjukutei,https://www.tiktok.com/@halal_ramen_shinjukutei/video/7540516101759814920,Best Halal food Tokyo,353,1,33900,2.52,General,Tabinaka (JP focus)
B,LIFESTYLE,ASIA,wakupaku,ebisu.willowbrook,https://www.tiktok.com/@ebisu.willowbrook,https://www.tiktok.com/@ebisu.willowbrook/video/7561501440418598158,Japan Gift Ideas,2735,1,8763,2.51,Kawaii,Tabinaka (JP focus)
B,EXPERIENCE,ASIA,tokyosauna,itsjonlam,https://www.tiktok.com/@itsjonlam,https://www.tiktok.com/@itsjonlam/video/7547243409166175510,Luxury Spa Japan,10800,1,42600,2.5,Luxury,Tabinaka (JP focus)
B,EXPERIENCE,AMERICA,creha,japan.web.magazin,https://www.tiktok.com/@japan.web.magazin,https://www.tiktok.com/@japan.web.magazin/video/7517240508377222418,Akihabara Hidden Gems,1004,1,12500,2.5,Hidden Gem,Global
B,LIFESTYLE,ASIA,wakupaku,4k.steps.japan,https://www.tiktok.com/@4k.steps.japan,https://www.tiktok.com/@4k.steps.japan/video/7578306896675818766,Gluten Free Japan,2232,1,5733,2.49,General,Tabinaka (JP focus)
B,EXPERIENCE,ASIA,tokyosauna,dharaxvlogs,https://www.tiktok.com/@dharaxvlogs,https://www.tiktok.com/@dharaxvlogs/video/7533655005312716045,"Relaxing Spots in Tokyo, Best Wellness Tokyo",2850,1,94900,2.49,Hidden Gem,Tabinaka (JP focus)
B,FOOD,ASIA,zstea,tubadagli8,https://www.tiktok.com/@tubadagli8,https://www.tiktok.com/@tubadagli8/video/7514698743279602951,Best Halal food Tokyo,720900,1,93600,2.46,Cinematic,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,natalieinthecity,https://www.tiktok.com/@natalieinthecity,https://www.tiktok.com/@natalieinthecity/video/7579431260251049246,Tokyo Solo Female Travel,124900,1,73900,2.45,Cinematic,Tabinaka (JP focus)
B,EXPERIENCE,AMERICA,creha,zoevya,https://www.tiktok.com/@zoevya,https://www.tiktok.com/@zoevya/video/7534644077048990998,Tokyo Drift Real Life,157000,1,1400000,2.44,General,Global
B,LIFESTYLE,ASIA,nots,sp00pybeans,https://www.tiktok.com/@sp00pybeans,https://www.tiktok.com/@sp00pybeans/video/7483122117974707478,#japanesecountryside,485400,1,898500,2.42,General,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,ya.manicure,https://www.tiktok.com/@ya.manicure,https://www.tiktok.com/@ya.manicure/video/7562187531186457878,Best Japanese Nail Art,1379,1,75000,2.41,General,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,mindeetran,https://www.tiktok.com/@mindeetran,https://www.tiktok.com/@mindeetran/video/7579045831907560718,Luxury Beauty Experience Japan,363400,1,21500,2.41,Urban/Street,Tabinaka (JP focus)
B,BEAUTY,ASIA,cafune,danixdaze,https://www.tiktok.com/@danixdaze,https://www.tiktok.com/@danixdaze/video/7568716404443122957,PrivateSalonTokyo,12400,1,55300,2.41,General,Tabinaka (JP focus)
B,EXPERIENCE,AMERICA,creha,seirai.stay,https://www.tiktok.com/@seirai.stay,https://www.tiktok.com/@seirai.stay/video/7495911430927977746,"Tokyo Gamers Guide, Tokyo Game Hunting",8976,1,5780,2.4,Urban/Street,Global
B,BEAUTY,ASIA,cafune,courtney.richman,https://www.tiktok.com/@courtney.richman,https://www.tiktok.com/@courtney.richman/video/7491220155062848814,Luxury Beauty Experience Japan,2342,1,31500,2.4,General,Tabinaka (JP focus)
B,EXPERIENCE,ASIA,tokyosauna,mistysbestkeptsecrets,https://www.tiktok.com/@mistysbestkeptsecrets,https://www.tiktok.com/@mistysbestkeptsecrets/video/7603202207088954654,Japanese Sauna Culture,16200,1,6444,2.39,Hidden Gem,Tabinaka (JP focus)
B,LIFESTYLE,ASIA,wakupaku,veganabitofall,https://www.tiktok.com/@veganabitofall,https://www.tiktok.com/@veganabitofall/video/7479716658995596562,Vegan Sweets Tokyo,66200,1,5707,2.38,Traditional/Zen,Tabinaka (JP focus)
